ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'TCP', 'src_p': 60278, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.717886'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.251.208.170', 'protocol': 'TCP', 'src_p': 60278, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:16.717920'}
ANOMALY DETECTED: {'src_ip': '142.251.208.170', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60278, 'timestamp': '2025-05-11 17:16:16.768565'}
THREAT DETECTED: {'src_ip': '142.251.208.170', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60278, 'timestamp': '2025-05-11 17:16:16.768565'}
ANOMALY DETECTED: {'src_ip': '192.168.0.1', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 53, 'dst_p': 56421, 'timestamp': '2025-05-11 17:16:17.077667'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '142.250.185.227', 'protocol': 'TCP', 'src_p': 60103, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:18.262560'}
ANOMALY DETECTED: {'src_ip': '142.250.185.227', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60103, 'timestamp': '2025-05-11 17:16:18.306371'}
ANOMALY DETECTED: {'src_ip': '142.250.185.227', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60103, 'timestamp': '2025-05-11 17:16:18.306395'}
THREAT DETECTED: {'src_ip': '142.250.185.227', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60103, 'timestamp': '2025-05-11 17:16:18.306395'}
ANOMALY DETECTED: {'src_ip': '192.168.0.1', 'dst_ip': '192.168.0.104', 'protocol': 'UDP', 'src_p': 53, 'dst_p': 56371, 'timestamp': '2025-05-11 17:16:18.326623'}
ANOMALY DETECTED: {'src_ip': '172.67.68.36', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60234, 'timestamp': '2025-05-11 17:16:18.457273'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '172.67.68.36', 'protocol': 'TCP', 'src_p': 60234, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:18.457637'}
ANOMALY DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '35.186.224.45', 'protocol': 'TCP', 'src_p': 54054, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:19.466014'}
ANOMALY DETECTED: {'src_ip': '35.186.224.45', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 54054, 'timestamp': '2025-05-11 17:16:19.531387'}
THREAT DETECTED: {'src_ip': '192.168.0.104', 'dst_ip': '20.44.10.123', 'protocol': 'TCP', 'src_p': 60265, 'dst_p': 443, 'timestamp': '2025-05-11 17:16:19.963860'}
ANOMALY DETECTED: {'src_ip': '199.232.17.91', 'dst_ip': '192.168.0.104', 'protocol': 'TCP', 'src_p': 443, 'dst_p': 60261, 'timestamp': '2025-05-11 17:16:20.890323'}
